common_name,life_stage,comments,phylum,class,order,family,genus,species,dry_weight,dry_reference,carbon_weight,carbon_reference,wet_weight,wet_weight_reference,length_group
Other cyclopoid,Adult,NA,Arthropoda,Copepoda,Cyclopoida,NA,NA,NA,5.39,POD Fish Guts,1,Kimmerer (MEPS 2006),4.44e-5,POD Fish Guts,NA
Other Insect larvae,NA,NA,Arthropoda,Insecta,NA,NA,NA,NA,58,POD Fish Guts,NA,NA,4.904e-4,POD Fish Guts,NA
Other malacostraca,All,NA,Arthropoda,Malacostraca,Malacostraca,NA,NA,NA,NA,NA,NA,NA,4.94e-4,POD Fish Guts,NA
Other rotifer,All,NA,Rotifera,Monogononta,Ploima,NA,NA,NA,0.16,Nobriga 1998,0.03,Kimmerer (MEPS 2006),3.6e-6,POD Fish Guts,NA
Other zooplankton,All,NA,NA,NA,NA,NA,NA,NA,11.27,POD Fish Guts,NA,NA,9.39e-5,POD Fish Guts,NA
Pacific herring,All,NA,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Clupea,pallasii,NA,NA,NA,NA,NA,"See ""tbl_lookup_Zoo LW Equations""",Fish
Palaemon,All,NA,Arthropoda,Malacostraca,Decapoda,Palaemonidae,Palaemon,macrodactylus,NA,NA,NA,NA,NA,"See ""tbl_lookup_Zoo LW Equations""",Shrimp
Polyarthra,All,NA,Rotifera,Monogononta,Ploima,Synchaetidae,Polyarthra,spp.,0.16,Nobriga 1998,0.03,Kimmerer (MEPS 2006),5e-7,Wet = Kimmerer (2006) ((0.03 ug C * 0.000001) / 0.42) / 0.13,NA
Prickly sculpin,All,NA,Chordata,Actinopterygii,Scorpaeniformes,Cottidae,Cottus,asper,NA,NA,NA,NA,NA,"See ""tbl_lookup_Zoo LW Equations""",Fish
Pseudodiaptomus copepodid,Copepodid,NA,Arthropoda,Copepoda,Calanoida,NA,Pseudodiaptomus,spp.,3,Nobriga 1998,0.75,Kimmerer (MEPS 2006),1.37e-5,Wet = Kimmerer (2006) ((0.75 ug C * 0.000001) / 0.42) / 0.13,NA
Pseudodiaptomus euryhalinus,Adult,NA,Arthropoda,Copepoda,Calanoida,NA,Pseudodiaptomus,euryhalinus,NA,NA,NA,NA,1.94e-5,POD Fish Guts; from Pseudodiaptomus spp.,NA
Pseudodiaptomus forbesi,Adult,NA,Arthropoda,Copepoda,Calanoida,NA,Pseudodiaptomus,forbesi,10.6,Nobriga 1998,3,Kimmerer (MEPS 2006),5.49e-5,Wet = Kimmerer (2006) ((3 ug C * 0.000001) / 0.42) / 0.13,NA
Pseudodiaptomus marinus,Adult,NA,Arthropoda,Copepoda,Calanoida,NA,Pseudodiaptomus,marinus,9.52,"Carbon weight is 42% of dry weight, Beers (1966)",4,Kimmerer (MEPS 2006),7.33e-5,Wet = Kimmerer (2006) ((4 ug C * 0.000001) / 0.42) / 0.13,NA
Pseudodiaptomus nauplii,Nauplii,NA,Arthropoda,Copepoda,Calanoida,NA,Pseudodiaptomus,spp.,0.24,"Carbon weight is 42% of dry weight, Beers (1966)",0.1,Kimmerer (MEPS 2006),1.8e-6,Wet = Kimmerer (2006) ((0.1 ug C * 0.000001) / 0.42) / 0.13,NA
Pseudodiaptomus spp.,Adult,NA,Arthropoda,Copepoda,Calanoida,NA,Pseudodiaptomus,spp.,2.47,POD Fish Guts,1,POD Fish,1.94e-5,POD Fish Guts,NA
Sinocalanus,Adult,NA,Arthropoda,Copepoda,Calanoida,NA,Sinocalanus,doerrii,7.38,Nobriga 1998,3,Kimmerer (MEPS 2006),7.07e-5,POD Fish Guts,NA
Sinocalanus copepodid,Copepodid,NA,Arthropoda,Copepoda,Calanoida,NA,Sinocalanus,NA,1.79,"Carbon weight is 42% of dry weight, Beers (1966)",0.75,Kimmerer (MEPS 2006),2.36e-5,POD Fish Guts,NA
Sinocalanus nauplii,Nauplii,NA,Arthropoda,Copepoda,Calanoida,NA,Sinocalanus,NA,0.24,"Carbon weight is 42% of dry weight, Beers (1966)",0.1,Kimmerer (MEPS 2006),2.7e-6,POD Fish Guts,NA
Stomach empty,"NA",Number = 1 (presence only),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Weight not quantified.,NA
Striped bass,All,NA,Chordata,Actinopterygii,Perciformes,Moronidae,Morone,saxatilis,NA,NA,NA,NA,NA,"See ""tbl_lookup_Zoo LW Equations""",Fish
Synchaeta,All,NA,Rotifera,Monogononta,Ploima,Synchaetidae,Synchaeta,spp.,0.16,Nobriga 1998,0.1,Kimmerer (MEPS 2006),3.6e-6,POD Fish Guts; From Other rotifer,NA
Synchaeta bicornis,All,NA,Rotifera,Monogononta,Ploima,Synchaetidae,Synchaeta,bicornis,0.16,Nobriga 1998,0.1,Kimmerer (MEPS 2006),1.8e-6,Wet = Kimmerer (2006) ((0.1 ug C * 0.000001) / 0.42) / 0.13,NA
Terrestrial invertebrates,All,"Ants, spiders, flies with wings, etc.",NA,NA,NA,NA,NA,NA,28,POD Fish Guts,NA,NA,2.366e-4,POD Fish Guts,NA
Tintinnid spp.,All,Added 25 May 2011,Ciliophora,Spirotrichea,Tintinnida,NA,NA,NA,NA,NA,0,NA,1.5e-7,Wet = Pace et al. (1998) (( 0.0197 ug DW * 0.000001) / 0.13),NA
Tortanus,Adult,NA,Arthropoda,Copepoda,Calanoida,NA,Tortanus,spp.,16.67,"Carbon weight is 42% of dry weight, Beers (1966)",7,Kimmerer (MEPS 2006),2.196e-4,POD Fish Guts,NA
Tortanus copepodid,Copepodid,NA,Arthropoda,Copepoda,Calanoida,NA,Tortanus,spp.,3,Nobriga 1998,0.75,Kimmerer (MEPS 2006),3.01e-5,POD Fish Guts,NA
Tortanus dextrilobatus,Adult,ID'd only to Tortanus spp.,Arthropoda,Copepoda,Calanoida,NA,Tortanus,dextrilobatus,NA,NA,0,NA,2.196e-4,POD Fish Guts; from Tortanus,NA
Tortanus discaudatus,Adult,ID'd only to Tortanus spp.,Arthropoda,Copepoda,Calanoida,NA,Tortanus,discaudatus,NA,NA,0,NA,2.196e-4,POD Fish Guts; from Tortanus,NA
Trichocerca,All,NA,Rotifera,Monogononta,Ploima,Trichocercidae,Trichocerca,spp.,0.16,Nobriga 1998,NA,NA,2.3e-6,POD Fish Guts,NA
Tridentiger spp.,All,NA,Chordata,Actinopterygii,Perciformes,Gobiidae,Tridentiger,spp.,NA,NA,NA,NA,NA,"See ""tbl_lookup_Zoo LW Equations""",Fish
Unid Amphipod,All,Added 9 Nov 2011,Arthropoda,Malacostraca,Amphipoda,NA,NA,NA,NA,NA,NA,NA,NA,"See ""tbl_lookup_Zoo LW Equations""",Amphipods
UnID animal material,"NA",Number = 1 (presence only),NA,NA,NA,NA,NA,NA,100,POD Fish Guts - Delta smelt only,NA,NA,NA,Weight not quantified.,NA
UnID calanoid,Adult,NA,Arthropoda,Copepoda,Calanoida,NA,NA,NA,3,Nobriga 1998,3,POD Fish,2.76e-5,POD Fish Guts,NA
UnID cladocera,All,NA,Arthropoda,Branchiopoda,Cladocera,NA,NA,NA,2.7,POD Fish Guts,1.4,Kimmerer (MEPS 2006),2.25e-5,POD Fish Guts,NA
Unid copepod,All,"March 4, 2014 corrected d mean weight 29.7 -> 24.7",Arthropoda,Copepoda,NA,NA,NA,NA,NA,NA,0,NA,2.47e-5,POD Fish Guts; Mean of UnID calanoid and UnID cyclopoid,NA
UnID cyclopoid,Adult,NA,Arthropoda,Copepoda,Cyclopoida,NA,NA,NA,2.6,POD Fish Guts,NA,NA,2.17e-5,POD Fish Guts,NA
Unid fish,All,NA,Chordata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"See ""tbl_lookup_Zoo LW Equations""",Fish
Unid Mysids,All,NA,Arthropoda,Malacostraca,Mysidacea,NA,NA,NA,228,POD Fish Guts,NA,NA,NA,"See ""tbl_lookup_Zoo LW Equations""",Mysids
UnID plant material,"NA",Number = 1 (presence only),NA,NA,NA,NA,NA,NA,13,POD Fish Guts - Delta smelt only,NA,NA,NA,Weight not quantified.,NA
Unid rotifer,All,NA,Rotifera,Monogononta,Ploima,NA,NA,NA,0.16,Nobriga 1998,0.03,Kimmerer (MEPS 2006),3.6e-6,POD Fish Guts; From Other rotifer,NA
White croaker,All,NA,Chordata,Actinopterygii,Perciformes,Sciaenidae,Genyonemus,lineatus,NA,NA,NA,NA,NA,"See ""tbl_lookup_Zoo LW Equations""",Fish
Worm pieces,All,Number = 1 (presence only),NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1.39e-5,POD Fish Guts; From barnacle nauplii (same size),NA
