PreyCategory,LifeStage,PreyCategoryDefinition,Phylum,Class,Order,Family,Genus,Species,WetWeight,WetWeightReference,StartDate,EndDate,Comments
Sinocalanus nauplii,Nauplii,,Arthropoda,Copepoda,Calanoida,,Sinocalanus,,0.0000027,POD Fish Guts,,,
Pseudodiaptomus nauplii,Nauplii,,Arthropoda,Copepoda,Calanoida,,Pseudodiaptomus,,0.0000018,Wet = Kimmerer (2006) ((0.1 ug C * 0.000001) / 0.42) / 0.13,,,
Sinocalanus copepodid,Copepodid,,Arthropoda,Copepoda,Calanoida,,Sinocalanus,,0.0000236,POD Fish Guts,,,
Limnoithona copepodid,Copepodid,,Arthropoda,Copepoda,Cyclopoida,,Limnothoina,,0.0000005,Wet = Kimmerer (2006) ((0.0275 ug C * 0.000001) / 0.42) / 0.13,,,
Oithona copepodid,Copepodid,,Arthropoda,Copepoda,Cyclopoida,,Oithona,spp,0.0000011,Wet = Kimmerer (2006) ((0.0575 ug C * 0.000001) / 0.42) / 0.13,,,"March 4, 2014 corrected carbon value 0.575 ug -> 0.0575 ug"
Pseudodiaptomus forbesi,Adult,,Arthropoda,Copepoda,Calanoida,,Pseudodiaptomus,forbesi,0.0000549,Wet = Kimmerer (2006) ((3 ug C * 0.000001) / 0.42) / 0.13,,,
Pseudodiaptomus marinus,Adult,,Arthropoda,Copepoda,Calanoida,,Pseudodiaptomus,marinus,0.0000733,Wet = Kimmerer (2006) ((4 ug C * 0.000001) / 0.42) / 0.13,,,
Asplanchna,All,,Rotifera,Monogononta,Ploima,Asplanchnidae,Asplanchna,spp,0.0000036,POD Fish Guts; From Other rotifer,,,
Synchaeta bicornis,All,,Rotifera,Monogononta,Ploima,Synchaetidae,Synchaeta,bicornis,0.0000018,Wet = Kimmerer (2006) ((0.1 ug C * 0.000001) / 0.42) / 0.13,,,
Keratella,All,,Rotifera,Monogononta,Ploima,Brachionidae,Keratella,spp,0.0000013,POD Fish Guts,,,
Polyarthra,All,,Rotifera,Monogononta,Ploima,Synchaetidae,Polyarthra,spp,0.0000005,Wet = Kimmerer (2006) ((0.03 ug C * 0.000001) / 0.42) / 0.13,,,
Synchaeta,All,,Rotifera,Monogononta,Ploima,Synchaetidae,Synchaeta,spp,0.0000036,POD Fish Guts; From Other rotifer,,,
Trichocerca,All,,Rotifera,Monogononta,Ploima,Trichocercidae,Trichocerca,spp,0.0000023,POD Fish Guts,,,
Crab megalope,,,Arthropoda,Malacostraca,Decapoda,,,,,Not currently in database,,,
Stomach/Gut Tissue,NA,,,,,,,,,Stomach is empty.,,,Number = 1 (presence only)
Debris (sand/silt/mud),NA,,,,,,,,,Weight not quantified.,,,Number = 1 (presence only)
UnID plant material,NA,,,,,,,,,Weight not quantified.,,,Number = 1 (presence only)
UnID animal material,NA,,,,,,,,,Weight not quantified.,,,Number = 1 (presence only)
Other zooplankton,All,,,,,,,,0.0000939,POD Fish Guts,,,
Worm pieces,All,,,,,,,,0.0000139,POD Fish Guts; From barnacle nauplii (same size),,,Number = 1 (presence only)
Unid copepod,All,,Arthropoda,Copepoda,,,,,0.0000247,POD Fish Guts; Mean of UnID calanoid and UnID cyclopoid,,,"March 4, 2014 corrected mean weight 29.7 -> 24.7"
Tridentiger spp,All,,Chordata,Actinopterygii,Perciformes,Gobiidae,Tridentiger,spp,,"See ""tbl_lookup_Zoo LW Equations""",,,
Prickly Sculpin,All,,Chordata,Actinopterygii,Scorpaeniformes,Cottidae,Cottus,asper,,"See ""tbl_lookup_Zoo LW Equations""",,,
Striped Bass,All,,Chordata,Actinopterygii,Perciformes,Moronidae,Morone,saxatilis,,"See ""tbl_lookup_Zoo LW Equations""",,,
Tintinnid,All,,Ciliophora,Spirotrichea,Tintinnida,,,,0.0000002,Wet = Pace et al. (1998) (( 0.0197 ug DW * 0.000001) / 0.13),,,Added 25 May 2011
Unid amphipod,All,,Arthropoda,Malacostraca,Amphipoda,,,,,"See ""tbl_lookup_Zoo LW Equations""",,,Added 9 Nov 2011
Longfin Smelt,All,,Chordata,Actinopterygii,Osmeriformes,Osmeridae,Spirinchus,thaleichthys,,"See ""tbl_lookup_Zoo LW Equations""",,,
Pacific Herring,All,,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Clupea,pallasii,,"See ""tbl_lookup_Zoo LW Equations""",,,
White Croaker,All,,Chordata,Actinopterygii,Perciformes,Sciaenidae,Genyonemus,lineatus,,"See ""tbl_lookup_Zoo LW Equations""",,,
Calanus pacificus,Adult,,Arthropoda,Copepoda,Calanoida,Calanidae,Calanus,pacificus,0.0015332,Wet = Kimmerer (2006) ((80 ug C * 0.000001) / 0.42) / 0.13,,,Added 08 July 2020
Calanus pacificus copepodid,Copepodid,,Arthropoda,Copepoda,Calanoida,Calanidae,Calanus,pacificus,0.0003833,Wet = Kimmerer (2006) ((29.8 ug C * 0.000001) / 0.42) / 0.13,,,Added 08 July 2020
Epilabidocera spp,Adult,,Arthropoda,Copepoda,Calanoida,Pontellidae,Epilabidocera,spp,,,,,Added 08 July 2020
Epilabidocera copepodid,Copepodid,,Arthropoda,Copepoda,Calanoida,Pontellidae,Epilabidocera,spp,,,,,Added 08 July 2020
Unid larval shrimp,Larvae,,Arthropoda,Malacostraca,Decapoda,,,,,,,,Added 08 July 2020
Nippoleucon hinumensis,All,,Arthropoda,Malacostraca,Cumacea,"	Leuconidae",Nippoleucon,himumensis,0.0003307,POD Fish Guts,,,"Added 29 July 2020. Previously classified under ""Cumaceans"""
Other cumacean,All,,Arthropoda,Malacostraca,Cumacea,,,,0.0003307,POD Fish Guts,,,Added 29 July 2020
Unid cumacean,All,,Arthropoda,Malacostraca,Cumacea,,,,0.0003307,POD Fish Guts,,,Added 29 July 2020
Eucyclops spp,Adult,,Arthropoda,Copepoda,Cyclopoida,,Eucyclops,spp,,,,,"Added 29 July 2020. Will stop using ""Other Cyclopoid"" for the adults of this group."
Diacyclops spp,Adult,,Arthropoda,Copepoda,Cyclopoida,,,,,,,,"Added 29 July 2020. Will stop using ""Other Cyclopoid"" for the adults of this group."
Corophium type,All,,Arthropoda,Malacostraca,Amphipoda,Corophiidae,Corophium,spp,,"See ""tbl_lookup_Zoo LW Equations""",,,Amphipod resembling the Corophium type body plan- Updated to add type  July 2020. Updated to Corophium Type
Gammarus type,All,,Arthropoda,Malacostraca,Amphipoda,Gammaridae,Gammarus,spp,,"See ""tbl_lookup_Zoo LW Equations""",,,Amphipod resembling theGammarus type body plan- Updated to type July 2020
Exopalaemon modestus,All,,Arthropoda,Malacostraca,Decapoda,Palaemonidae,Exopalaemon,modestus,,"See ""tbl_lookup_Zoo LW Equations""",,,Added 24 Mar 2014
