DOPLogNumber,Project,GearType,Year,Month,Date,Station,Region,SerialNumber,Species,Time,Depth,TempSurf,CondSurf,PPTSurf,TempBott,CondBott,PPTBott,Secchi,Turbidity,TotalBodyWeight,GutContents,ForkLength,TotalGutContentWeight,FullnessRank,DigestionRank,Debris (sand/silt/mud),Unid animal material,Unid plant material
0079,EDSM,KT,2017,9,11-Sep-17,18-07-SBM02,Suisun Bay/Marsh,169,Delta Smelt,9:35,,22.3,11854,6.75,,,,44,27.8,0.8933,Y,47,,4,2,,1,1
0081,EDSM,KT,2017,9,12-Sep-17,18-07-SBM03,Suisun Bay/Marsh,171,Delta Smelt,9:06,,22.3,9199,5.13,,,,46,36.3,0.9132,Y,51,,2,2,,1,1
0083,EDSM,KT,2017,9,20-Sep-17,18-08-SBM01,Suisun Bay/Marsh,173,Delta Smelt,13:32,,20.1,7555,4.15,,,,32,79.5,0.6802,Y,48,,2,2,1,,
0084,EDSM,KT,2017,9,27-Sep-17,18-09-SBM01,Suisun Bay/Marsh,174,Delta Smelt,9:17,,19.7,5271,2.82,,,,50,31.8,1.6402,Y,60,,1,3,,1,1
0085,EDSM,KT,2017,9,29-Sep-17,18-09-SBM02,Suisun Bay/Marsh,175,Delta Smelt,9:22,,19.7,4890,2.60,,,,82,13.1,1.1043,Y,58,0.0080,3,3,1,,1
0087,EDSM,KT,2017,10,17-Oct-17,18-12-SM01,Suisun Bay/Marsh,177,Delta Smelt,10:13,6.6,17.0,8184,4.52,,,,35,56.3,0.4109,Y,45,0.0044,4,3,,1,
0088,EDSM,KT,2017,10,23-Oct-17,18-13-LSR01,Lower Sacramento,61,Delta Smelt,8:21,6.6,16.2,868,0.41,,,,42,23.7,1.0544,Y,55,,1,2,1,,
0111,EDSM,KT,2018,8,01-Aug-18,19-01-LSSC01,Sac DW Ship Channel,78,Delta Smelt,9:41,11.3,23.9,755,0.35,,,,43,28.8,0.9621,Y,55,0.0052,1,3,,1,
0118,EDSM,KT,2018,8,14-Aug-18,19-03-LSSC01,Sac DW Ship Channel,85,Delta Smelt,9:17,9.9,22.7,330,0.14,,,,65,19.1,0.6895,Y,46,0.0051,3,3,,1,
0122,EDSM,KT,2018,8,20-Aug-18,19-04-LSSC05,Sac DW Ship Channel,89,Delta Smelt,10:44,10.4,22.4,407,0.18,,,,40,34.3,0.5160,Y,41,0.0042,2,3,,1,
0124,EDSM,KT,2018,8,27-Aug-18,19-05-LSSC05,Sac DW Ship Channel,91,Delta Smelt,13:03,4.2,21.4,325,0.14,,,,31,30.6,0.8433,Y,51,,4,3,,1,
0125,EDSM,KT,2018,8,27-Aug-18,19-05-LSSC05,Sac DW Ship Channel,92,Delta Smelt,13:18,5.5,21.5,321,0.14,,,,40,29.4,0.9046,Y,48,,4,4,,1,
0126,EDSM,KT,2018,8,27-Aug-18,19-05-LSSC05,Sac DW Ship Channel,93,Delta Smelt,13:18,5.5,21.5,321,0.14,,,,40,29.4,0.9268,Y,49,0.0101,4,4,,1,
0127,EDSM,KT,2018,8,27-Aug-18,19-05-LSSC05,Sac DW Ship Channel,94,Delta Smelt,13:18,5.5,21.5,321,0.14,,,,40,29.4,0.7985,Y,48,0.0058,3,4,,1,
0128,EDSM,KT,2018,8,27-Aug-18,19-05-LSSC05,Sac DW Ship Channel,95,Delta Smelt,13:18,5.5,21.5,321,0.14,,,,40,29.4,0.5114,Y,40,0.0065,4,4,,1,
0130,EDSM,KT,2018,8,27-Aug-18,19-05-LSSC05,Sac DW Ship Channel,97,Delta Smelt,13:18,5.5,21.5,321,0.14,,,,40,29.4,0.7065,Y,44,0.0013,4,4,,1,
0131,EDSM,KT,2018,9,10-Sep-18,19-07-LSSC02,Sac DW Ship Channel,98,Delta Smelt,11:15,10.2,21.4,396,0.18,,,,36,29.6,0.9377,Y,52,0.0095,3,4,,1,
0135,EDSM,KT,2018,7,17-Jul-18,18-51-CF02,Suisun Bay,185,Delta Smelt,11:22,15.7,21.4,4973,2.65,,,,46,50.9,0.9112,Y,46,,2,3,,1,
0140,EDSM,KT,2018,9,07-Sep-18,19-06-GB01,Suisun Marsh,190,Delta Smelt,8:27,2.6,19.3,12772,7.31,,,,19,76.1,0.8565,Y,51,0.0037,1,2,,,1
0145,EDSM,KT,2018,8,13-Aug-18,19-03-LSR01,Lower Sacramento,301,Delta Smelt,9:18,5.9,21.7,5775,3.11,,,,23,63.6,1.7524,Y,61,0.0069,2,2,,,1
0151,EDSM,KT,2018,9,10-Sep-18,19-07-LSSC02,Sac DW Ship Channel,100,Delta Smelt,11:15,10.2,21.4,396,0.18,,,,36,29.6,0.8894,Y,51,0.0142,4,3,,1,
0152,EDSM,KT,2018,9,10-Sep-18,19-07-LSSC02,Sac DW Ship Channel,101,Delta Smelt,11:15,10.2,21.4,396,0.18,,,,36,29.6,0.9118,Y,54,0.0062,3,3,,1,
0153,EDSM,KT,2018,9,10-Sep-18,19-07-LSSC02,Sac DW Ship Channel,102,Delta Smelt,11:15,10.2,21.4,396,0.18,,,,36,29.6,1.2596,Y,56,0.0119,3,3,,1,
0154,EDSM,KT,2018,9,10-Sep-18,19-07-LSSC02,Sac DW Ship Channel,103,Delta Smelt,11:31,10.2,21.5,406,0.18,,,,33,32.1,0.5419,Y,44,0.0039,3,3,,1,
0155,EDSM,KT,2018,9,10-Sep-18,19-07-LSSC02,Sac DW Ship Channel,104,Delta Smelt,11:31,10.2,21.5,406,0.18,,,,33,32.1,0.8408,Y,51,0.0080,3,3,,1,
0157,EDSM,KT,2018,9,10-Sep-18,19-07-LSSC02,Sac DW Ship Channel,106,Delta Smelt,11:31,10.2,21.5,406,0.18,,,,33,32.1,0.9433,Y,53,0.0083,2,3,,1,
